ID,VersionNo,SalesOrderNo,CustomerId,CustomerName,Factory,OrderDate,RequestedDate,Currency,TotalAmount,Status,customer,companyCode,approvedBy,rejectedBy,rejectionReason,project,createdAt,createdBy,modifiedAt,modifiedBy
63958410-edda-4222-9a80-2f1d399c5bb0,1,100001,CUST1001,ABC,HYD01,2026-05-10,2026-05-20,USD,15420.50,Approved,ABC Electronics Pvt Ltd,HP01,Guruprasanna Tumkurkrishnamurthy,,,P3,2026-05-10T09:15:00.000Z,pudota.maryharika@ust.com,2026-05-12T14:30:00.000Z,guruprasanna.tumkurkrishnamurthy@ust.com
6395842d-a733-4e23-b397-ac4865cc4e2e,1,100002,CUST1002,TechNova,BLR01,2026-05-12,2026-05-25,EUR,28375.00,Pending,HP01,HP01,,,,P3,2026-05-12T08:45:00.000Z,chitturi.hemalatha@ust.com,2026-05-12T08:45:00.000Z,chitturi.hemalatha@ust.com
6395843a-21b2-4618-9d7a-f49ca21ae6a3,1,100003,CUST1003,Global,CHN01,2026-05-15,2026-05-30,INR,985000.00,Rejected,Global Manufacturing Ltd,HP02,,Guruprasanna Tumkurkrishnamurthy,Budget exceeds approval limit,Digital Factory,2026-05-15T10:00:00.000Z,pudota.maryharika@ust.com,2026-05-16T11:20:00.000Z,guruprasanna.tumkurkrishnamurthy@ust.com
63958440-7e05-46ed-9f1c-620ef4c2ef7a,2,100004,CUST1004,Precision,PUN01,2026-05-18,2026-06-02,USD,47250.75,Approved,Precision Components Inc,HP01,Chitturi Hemalatha,,,P2,2026-05-18T13:10:00.000Z,guruprasanna.tumkurkrishnamurthy@ust.com,2026-05-20T15:45:00.000Z,chitturi.hemalatha@ust.com
63958452-caf4-42f0-b22a-c71621206b92,1,100005,CUST1005,Innovatech,MUM01,2026-05-20,2026-06-05,GBP,19890.25,Draft,Innovatech Systems,HP03,,,,P2,2026-05-20T09:40:00.000Z,chitturi.hemalatha@ust.com,2026-05-20T09:40:00.000Z,chitturi.hemalatha@ust.com
63958463-91b4-4ab1-81a4-3d2d96c45d10,1,100006,CUST1006,Prime,HYD02,2026-05-22,2026-06-08,USD,63250.00,Approved,Prime Industrial Works,HP01,Guruprasanna Tumkurkrishnamurthy,,,P3,2026-05-22T10:15:00.000Z,pudota.maryharika@ust.com,2026-05-23T16:10:00.000Z,guruprasanna.tumkurkrishnamurthy@ust.com
63958474-5cf8-4d65-b84a-2c51b0ab5d55,1,100007,CUST1007,Vertex,CHN02,2026-05-25,2026-06-12,EUR,75999.99,Pending,Vertex Automation,HP02,,,,Robotics Integration,2026-05-25T09:25:00.000Z,guruprasanna.tumkurkrishnamurthy@ust.com,2026-05-25T09:25:00.000Z,guruprasanna.tumkurkrishnamurthy@ust.com
63958485-a2e4-4c29-b2de-18f1f84f4d99,1,100008,CUST1008,NextGen,PUN02,2026-05-28,2026-06-15,INR,1450000.00,Rejected,NextGen Robotics,HP03,,Chitturi Hemalatha,Customer requested pricing revision,Automation Upgrade,2026-05-28T14:40:00.000Z,pudota.maryharika@ust.com,2026-05-29T10:30:00.000Z,chitturi.hemalatha@ust.com
63958496-3f41-43cb-84d8-9cbafce87123,1,100009,CUST1009,BlueWave,BLR02,2026-06-01,2026-06-18,USD,32140.80,Approved,BlueWave Technologies,HP01,Chitturi Hemalatha,,,P2,2026-06-01T08:20:00.000Z,guruprasanna.tumkurkrishnamurthy@ust.com,2026-06-02T11:00:00.000Z,chitturi.hemalatha@ust.com
63958507-7ad1-4f12-8d6b-fefbfb9a9c11,1,100010,CUST1010,Quantum,MUM02,2026-06-03,2026-06-22,GBP,88560.00,Draft,Quantum Devices Ltd,HP02,,,,P1,2026-06-03T15:05:00.000Z,pudota.maryharika@ust.com,2026-06-03T15:05:00.000Z,pudota.maryharika@ust.com
